,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
0,1,0,0,1,0,146.41216216216216,30.0,0,2,1,5849.0
1,1,1,1,1,0,128.0,30.0,1,0,0,6091.0
2,1,1,0,1,1,66.0,30.0,1,2,1,3000.0
3,1,1,0,0,0,120.0,30.0,1,2,1,4941.0
4,1,0,0,1,0,141.0,30.0,0,2,1,6000.0
5,1,1,2,1,1,267.0,30.0,1,2,1,9613.0
6,1,1,0,0,0,95.0,30.0,1,2,1,3849.0
7,1,1,4,1,0,158.0,30.0,1,1,0,5540.0
8,1,1,2,1,0,168.0,30.0,1,2,1,5532.0
9,1,1,1,1,0,349.0,30.0,1,1,0,23809.0
10,1,1,2,1,0,70.0,30.0,1,2,1,3900.0
11,1,1,2,1,0,109.0,30.0,1,2,1,4340.0
12,1,1,2,1,0,200.0,30.0,1,2,1,11179.0
13,1,0,0,1,0,114.0,30.0,0,0,0,4693.0
14,1,1,2,1,0,17.0,10.0,1,2,1,2385.0
15,1,0,0,1,0,125.0,30.0,0,2,1,4950.0
16,1,0,1,0,0,100.0,20.0,0,2,1,3596.0
17,0,0,0,1,0,76.0,30.0,0,2,0,3510.0
18,1,1,0,0,0,133.0,30.0,1,0,0,4887.0
19,1,1,0,1,0,115.0,28.5,1,2,1,6100.0
20,1,1,0,0,0,104.0,30.0,1,2,0,7660.0
21,1,1,1,1,0,315.0,30.0,1,2,1,11580.0
22,1,1,0,0,0,116.0,30.0,1,1,0,4511.0
24,1,1,1,1,0,151.0,30.0,1,1,0,6642.0
25,1,1,0,1,1,191.0,30.0,1,1,1,9560.0
26,1,1,0,1,0,122.0,30.0,1,1,1,5052.0
27,1,1,2,0,0,110.0,30.0,1,2,1,5266.0
28,1,0,0,0,0,35.0,30.0,0,2,0,1442.0
29,0,0,2,1,0,120.0,30.0,0,1,1,5833.0
30,1,1,1,1,0,201.0,30.0,1,2,0,7535.0
31,1,0,0,1,0,74.0,30.0,0,2,0,3167.0
32,1,0,1,1,1,106.0,30.0,0,0,0,4692.0
33,1,1,0,1,0,114.0,30.0,1,1,1,5167.0
34,1,0,4,1,0,320.0,30.0,0,0,0,15500.0
35,1,1,0,1,0,146.41216216216216,30.0,1,2,1,4342.0
36,1,1,0,1,0,100.0,28.5,1,2,0,3158.0
37,0,1,0,1,0,144.0,30.0,1,1,1,5126.0
38,1,0,0,1,0,184.0,30.0,0,2,1,11376.0
39,1,0,0,0,0,110.0,30.0,0,1,1,5416.0
40,1,0,0,1,0,80.0,30.0,0,2,0,3600.0
41,1,0,0,1,0,47.0,30.0,0,2,1,3013.0
42,1,1,0,1,0,75.0,30.0,1,2,1,2400.0
43,1,1,0,1,0,134.0,30.0,1,1,1,6277.0
44,1,1,0,0,1,96.0,28.5,1,2,1,4695.0
45,0,0,0,1,0,88.0,28.5,0,2,1,3410.0
46,1,1,1,1,0,44.0,30.0,1,2,1,5649.0
47,1,1,0,1,0,144.0,30.0,1,2,1,5821.0
48,0,1,0,1,0,120.0,30.0,1,2,0,6085.0
49,0,0,0,1,0,144.0,30.0,0,1,1,6275.0
50,0,1,0,0,0,100.0,30.0,1,1,1,3572.0
51,0,0,0,1,0,120.0,30.0,0,1,1,3086.0
52,0,0,0,1,0,112.0,30.0,0,1,0,4230.0
53,1,1,2,1,0,134.0,30.0,1,2,0,4616.0
54,0,1,1,1,1,286.0,30.0,1,2,0,11500.0
55,1,1,2,1,0,97.0,30.0,1,1,1,3875.0
56,1,1,0,1,0,96.0,30.0,1,1,1,3723.0
57,1,1,0,1,0,135.0,30.0,1,0,0,5566.0
58,1,1,1,1,0,180.0,30.0,1,2,1,10330.0
59,1,1,2,0,0,144.0,30.0,1,2,1,6216.0
60,1,1,0,1,0,120.0,30.0,1,2,1,6296.0
61,1,1,4,1,0,99.0,30.0,1,2,1,3029.0
62,1,1,0,0,1,165.0,15.0,1,0,0,6058.0
63,1,1,1,1,0,146.41216216216216,30.0,1,0,0,4945.0
64,0,0,0,1,0,116.0,30.0,0,1,0,4166.0
65,1,1,0,1,0,258.0,30.0,1,1,0,10321.0
66,1,0,0,0,0,126.0,15.0,0,2,0,5454.0
67,1,1,1,1,0,312.0,30.0,1,2,1,10750.0
68,1,1,4,0,1,125.0,5.0,1,2,1,7100.0
69,0,0,0,1,0,136.0,30.0,0,1,0,4300.0
70,1,1,0,1,0,172.0,30.0,1,2,1,6274.0
71,1,1,2,0,1,97.0,30.0,1,1,1,3750.0
72,1,0,0,1,0,81.0,25.0,0,1,1,3500.0
73,1,1,4,0,0,95.0,28.5,1,1,0,4755.0
74,1,1,4,1,1,187.0,30.0,1,1,1,7040.0
75,1,0,0,1,0,113.0,40.0,0,2,0,3750.0
76,1,0,0,1,0,176.0,30.0,0,2,0,8500.0
77,1,1,1,1,1,110.0,30.0,1,2,0,4022.0
78,1,1,4,1,0,180.0,25.0,1,1,0,7167.0
79,1,1,4,0,1,130.0,30.0,1,1,1,5499.0
80,0,0,0,1,0,111.0,30.0,0,1,1,3846.0
81,1,1,1,1,1,146.41216216216216,30.0,1,1,1,2395.0
82,0,1,2,1,0,167.0,30.0,1,2,0,3259.0
83,1,1,0,1,0,265.0,30.0,1,1,0,8250.0
84,1,1,1,1,0,50.0,20.0,1,2,1,3988.0
85,1,0,0,1,0,136.0,30.0,0,1,1,4897.0
86,1,1,2,0,0,99.0,30.0,1,1,1,5333.0
87,1,1,0,1,0,104.0,30.0,1,1,1,4618.0
88,1,0,0,1,0,210.0,30.0,0,2,1,8566.0
89,1,1,0,1,0,175.0,30.0,1,1,1,9862.0
90,1,1,0,1,0,131.0,30.0,1,1,1,5858.0
91,1,1,2,1,0,188.0,15.0,1,1,1,11904.0
92,1,1,2,0,0,81.0,30.0,1,2,1,5093.0
93,1,0,0,1,0,122.0,30.0,0,1,1,4133.0
94,1,0,0,0,0,25.0,10.0,0,1,1,3620.0
95,1,0,0,1,0,146.41216216216216,30.0,0,2,0,6782.0
96,0,1,0,1,0,137.0,30.0,1,1,1,4786.0
97,1,1,0,1,0,50.0,30.0,1,1,1,2974.0
98,1,1,0,0,0,115.0,15.0,1,1,1,4188.0
99,1,1,0,1,0,131.0,30.0,1,1,1,5300.0
100,1,1,2,0,0,133.0,15.0,1,2,1,7551.0
101,1,0,0,1,0,151.0,30.0,0,1,1,8649.0
102,1,1,0,1,0,146.41216216216216,30.0,1,2,1,13650.0
103,1,1,0,1,0,146.41216216216216,30.0,1,1,1,8235.0
104,1,1,0,1,0,160.0,30.0,1,2,1,4570.0
105,1,1,1,1,0,100.0,30.0,1,2,1,4082.0
