Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
0,1,0,0,0,146.41216216216,30,1,2,1,5849
1,0,1,1,1,128,30,0,0,0,6091
1,1,0,0,0,66,30,1,2,1,3000
1,1,0,0,0,120,30,1,2,1,4941
0,1,0,0,0,141,30,1,2,1,6000
1,1,2,0,0,267,30,1,2,1,9613
1,1,0,0,0,95,30,1,2,1,3849
1,0,4,1,1,158,30,0,1,0,5540
1,1,2,0,0,168,30,1,2,1,5532
1,0,1,1,1,349,30,0,1,0,23809
1,1,2,0,0,70,30,1,2,1,3900
1,1,2,0,0,109,30,1,2,1,4340
1,1,2,0,0,200,30,1,2,1,11179
0,0,0,1,1,114,30,0,0,0,4693
1,1,2,0,0,17,10,1,2,1,2385
0,1,0,0,0,125,30,1,2,1,4950
0,1,1,0,0,100,20,1,2,1,3596
0,0,0,1,1,76,30,0,2,0,3510
1,0,0,1,1,133,30,0,0,0,4887
1,1,0,0,0,115,28.5,1,2,1,6100
1,0,0,1,1,104,30,0,2,0,7660
1,1,1,0,0,315,30,1,2,1,11580
1,0,0,1,1,116,30,0,1,0,4511
1,0,1,1,1,151,30,0,1,0,6642
1,1,0,0,0,191,30,1,1,1,9560
1,1,0,0,0,122,30,1,1,1,5052
1,1,2,0,0,110,30,1,2,1,5266
0,0,0,1,1,35,30,0,2,0,1442
0,1,2,0,0,120,30,1,1,1,5833
1,0,1,1,1,201,30,0,2,0,7535
0,0,0,1,1,74,30,0,2,0,3167
0,0,1,1,1,106,30,0,0,0,4692
1,1,0,0,0,114,30,1,1,1,5167
0,0,4,1,1,320,30,0,0,0,15500
1,1,0,0,0,146.41216216216,30,1,2,1,4342
1,0,0,1,1,100,28.5,0,2,0,3158
1,1,0,0,0,144,30,1,1,1,5126
0,1,0,0,0,184,30,1,2,1,11376
0,1,0,0,0,110,30,1,1,1,5416
0,0,0,1,1,80,30,0,2,0,3600
0,1,0,0,0,47,30,1,2,1,3013
1,1,0,0,0,75,30,1,2,1,2400
1,1,0,0,0,134,30,1,1,1,6277
1,1,0,0,0,96,28.5,1,2,1,4695
0,1,0,0,0,88,28.5,1,2,1,3410
1,1,1,0,0,44,30,1,2,1,5649
1,1,0,0,0,144,30,1,2,1,5821
1,0,0,1,1,120,30,0,2,0,6085
0,1,0,0,0,144,30,1,1,1,6275
1,1,0,0,0,100,30,1,1,1,3572
0,1,0,0,0,120,30,1,1,1,3086
0,0,0,1,1,112,30,0,1,0,4230
1,0,2,1,1,134,30,0,2,0,4616
1,0,1,1,1,286,30,0,2,0,11500
1,1,2,0,0,97,30,1,1,1,3875
1,1,0,0,0,96,30,1,1,1,3723
1,0,0,1,1,135,30,0,0,0,5566
